Date,Open,High,Low,Close,Adj Close,Volume
7/9/2018,1724.050049,1815.300049,1716.22998,1813.030029,1813.030029,18140600
7/16/2018,1821.949951,1858.880005,1797.380005,1813.699951,1813.699951,24572300
7/23/2018,1812.209961,1880.050049,1769.98999,1817.27002,1817.27002,31510800
7/30/2018,1827.329956,1841,1739.319946,1823.290039,1823.290039,24269300
8/6/2018,1825.810059,1914.569946,1818.920044,1886.300049,1886.300049,19232600
8/13/2018,1898.5,1925,1855.550049,1882.219971,1882.219971,25279700
8/20/2018,1890.569946,1919.5,1866.060059,1905.390015,1905.390015,15412000
8/27/2018,1915,2025.569946,1909.280029,2012.709961,2012.709961,24683200
9/3/2018,2026.5,2050.5,1935.209961,1952.069946,1952.069946,26323000
9/10/2018,1971,2008.76001,1917,1970.189941,1970.189941,21255900
9/17/2018,1954.72998,1958.199951,1887.410034,1915.01001,1915.01001,25386500
9/24/2018,1903.790039,2026.52002,1865,2003,2003,21480100
10/1/2018,2021.98999,2033.189941,1862.829956,1889.650024,1889.650024,28193600
10/8/2018,1874,1902,1685.099976,1788.609985,1788.609985,46535500
10/15/2018,1795,1845,1734.22998,1764.030029,1764.030029,29373500
10/22/2018,1784,1809.5,1603,1642.810059,1642.810059,43401800
10/29/2018,1660,1697.439941,1476.359985,1665.530029,1665.530029,50807400
11/5/2018,1657.569946,1784,1596.359985,1712.430054,1712.430054,30511400
11/12/2018,1698.23999,1708.550049,1546.51001,1593.410034,1593.410034,33719800
11/19/2018,1577.01001,1581.189941,1420,1502.060059,1502.060059,27093200
11/26/2018,1539,1696,1524.219971,1690.170044,1690.170044,32874600
12/3/2018,1769.459961,1778.339966,1609.849976,1629.130005,1629.130005,31922300
12/10/2018,1623.839966,1704.98999,1585,1591.910034,1591.910034,31976000
12/17/2018,1566,1584.530029,1363.959961,1377.449951,1377.449951,47777100
12/24/2018,1346,1513.469971,1307,1478.02002,1478.02002,36182800
12/31/2018,1510.800049,1594,1460.930054,1575.390015,1575.390015,31095800
1/7/2019,1602.310059,1676.609985,1589.189941,1640.560059,1640.560059,34417300
1/14/2019,1615,1716.199951,1595.150024,1696.199951,1696.199951,28600700
1/21/2019,1681,1683.47998,1610.199951,1670.569946,1670.569946,20677800
1/28/2019,1643.589966,1736.410034,1590.719971,1626.22998,1626.22998,37670800
2/4/2019,1623,1672.26001,1566.76001,1588.219971,1588.219971,23606200
2/11/2019,1600.97998,1656.380005,1586,1607.949951,1607.949951,20200600
2/18/2019,1601,1634.939941,1600.560059,1631.560059,1631.560059,13598900
2/25/2019,1641.449951,1674.26001,1615.099976,1671.72998,1671.72998,16999900
3/4/2019,1685,1709.430054,1586.569946,1620.800049,1620.800049,23468900
3/11/2019,1626.119995,1718.800049,1626.01001,1712.359985,1712.359985,21540400
3/18/2019,1712.699951,1823.75,1712.630005,1764.77002,1764.77002,30189700
3/25/2019,1757.790039,1805.77002,1745.680054,1780.75,1780.75,20658300
4/1/2019,1800.109985,1838.579956,1798.72998,1837.280029,1837.280029,18877400
4/8/2019,1833.22998,1853.089966,1825.109985,1843.060059,1843.060059,16200400
4/15/2019,1842,1876.469971,1818.900024,1861.689941,1861.689941,12412400
4/22/2019,1855.400024,1951,1845.640015,1950.630005,1950.630005,26221700
4/29/2019,1949,1964.400024,1881.869995,1962.459961,1962.459961,20988800
5/6/2019,1917.97998,1959,1856,1889.97998,1889.97998,26424800
5/13/2019,1836.560059,1917.51001,1815.75,1869,1869,24549500
5/20/2019,1852.689941,1879,1804.199951,1823.280029,1823.280029,18533900
5/27/2019,1832.75,1849.27002,1772.699951,1775.069946,1775.069946,15244700
6/3/2019,1760.01001,1806.25,1672,1804.030029,1804.030029,27515100
6/10/2019,1822,1893.699951,1818,1869.670044,1869.670044,17739000
6/17/2019,1876.5,1935.199951,1875.449951,1911.300049,1911.300049,16576100
6/24/2019,1912.660034,1916.859985,1872.420044,1893.630005,1893.630005,12916300
7/1/2019,1922.97998,1945.900024,1906.630005,1942.910034,1942.910034,10167900
7/8/2019,1934.119995,2035.800049,1928.25,2011,2011,18988100
7/15/2019,2021.400024,2026.319946,1951.550049,1964.52002,1964.52002,14848200
7/22/2019,1971.140015,2001.300049,1924.51001,1943.050049,1943.050049,17298400
7/29/2019,1930,1932.22998,1890.540039,1912.449951,1912.449951,4478500
